source,relationship,target
sc.exe,used by,attackers
Infostealer.Eamfo,associated with,Cuba
Infostealer.Eamfo,associated with,Noberus
Infostealer.Eamfo,associated with,Lockbit
UNC3944,use,POORTRY
POORTRY,use,STONESTOP
Cuba ransomware operators,use,BURNTCIGAR
Mimikatz,deployed by,Bluebottle
SharpHound,deployed by,Bluebottle
PsExec,deployed by,Bluebottle
RDPWrap script,deployed by,Bluebottle
downloader,deployed by,job-themed malware
Sharphound hacktool,deployed by,job-themed malware
fakelogonscreen,deployed by,job-themed malware
attacker,use,command prompt
attacker,use,PsExec
command prompt,for,lateral movement
PsExec,for,lateral movement
attacker,use,Quser
(attacker,use,Net localgroup /add
GuLoader,used by,attacker
Mimikatz,used by,attacker
Revealer Keylogger,used by,attacker
Backdoor.Cobalt,used by,attacker
Netwire RAT,used by,attacker
.NET downloader,used by,attacker
Malicious driver,use,transfer[.]sh
Billbug,aka,Lotus Blossom
Billbug,aka,Thrip
Billbug,belong to,advanced persistent threat (APT) group
Thrip,same group as,Billbug
Billbug,use,Hannotog
Hannotog,aka,Backdoor.Hannotog
Billbug,use,Sagerunex
Sagerunex,aka,Backdoor.Sagerunex
Billbug,use,dual-use tools
Billbug,leverage,AdFind
Billbug,leverage,Winmail
Billbug,leverage,WinRAR
Billbug,leverage,Ping
penetration testers,use,Stowaway Proxy Tool
Stowaway Proxy Tool,written in,Go language
Cobalt Strike,considered,commodity malware
Sagerunex,communication with,C&C server
Sagerunex,dropped by,Hannotog
Sagerunex,writes logs to,%TEMP%/TS_FB56.tmp
Sagerunex,uses,explorer.exe
Cranefly,use,Trojan.Geppei
Cranefly,install,Trojan.Danfuan
Cranefly,link to,UNC3524
Regeorg webshell,used by,Cranefly
Regeorg webshell,used by,UNC3524
Trojan.Geppei,use,PyInstaller
Trojan.Geppei,read,IIS log
IIS log,record,web pages and apps
commands,contain,.ashx files
.ashx files,run as,backdoors
w+1+C:\\inetpub\\wwwroot\	est\ackdoor.ashx,saved as,C:\\inetpub\\wwwroot\	est\ackdoor.ashx
C:\\inetpub\\wwwroot\	est\ackdoor.ashx,dropped by,Hacktool.Regeorg
ReGeorg,version of,Hacktool.Regeorg
Trojan.Danfuan,drops,sckspy.exe
Hacktool.Regeorg,used by,APT groups
GitHub,source of,Hacktool.Regeorg
BlackByte,deploy,Exbyte
Exbyte,belong to,Ransomware
Exbyte,developed by,ransomware attackers
BlackByte,run by,Hecamede
BlackByte,used in,ransomware attacks
Exbyte,upload,Mega.co.nz
Exbyte,check,avghooka.dll
Exbyte,check,avghookx.dll
Exbyte,check,sxin.dll
Exbyte,check,sf2.dll
Exbyte,check,sbiedll.dll
Exbyte,check,snxhk.dll
Exbyte,check,cmdvrt32.dll
Exbyte,check,cmdvrt64.dll
Exbyte,check,wpespy.dll
Exbyte,check,vmcheck.dll
Exbyte,check,pstorec.dll
Exbyte,check,dir_watch.dll
Exbyte,check,api_log.dll
Exbyte,check,dbghelp.dll
Exbyte,similar to,BlackByte
Exbyte,save,%APPDATA%\dummy
Exbyte,upload to,Mega.co.nz
Exbyte,use,Exmatter
Exmatter,used by,BlackMatter
Exmatter,used in,Noberus
Ryuk Stealer,linked to,LockBit
StealBit,linked to,LockBit
BlackByte,exploit,CVE-2021-34473
BlackByte,exploit,CVE-2021-34523
BlackByte,exploit,CVE-2021-31207
BlackByte,exploit,CVE-2021-26855
BlackByte,use,Microsoft Exchange Servers
BlackByte,use,AdFind
BlackByte,use,AnyDesk
BlackByte,use,NetScan
BlackByte,use,PowerView
BlackByte,download from,http://msdl.microsoft.com/download/symbols/ntkrnlmp.pdb/11D60DB07BA7433B923F49867DF515721/ntkrnlmp.pdb
BlackByte,download,ntkrnlmp.pdb
BlackByte,check,ntoskrnl.exe
BlackByte,use,VssAdmin
BlackByte,use,cmd.exe
BlackByte,use,vssadmin.exe
BlackByte,use,sc.exe
BlackByte,inject,svchost.exe
svchost.exe,delete,rdac.exe
(svchost.exe,ping,1.1.1.1
BlackByte,belong to,ransomware operations
Conti,belong to,ransomware operations
Sodinokibi,belong to,ransomware operations
Operation CuckooBees,use,Spyder Loader
Spyder Loader,aka,Trojan.Spyload
Spyder Loader,goal,intelligence collection
Operation CuckooBees,use,Spyder Loader
Spyder Loader,use,C&C server
Spyder Loader,used in,Operation CuckooBees
Spyder Loader,modified copy of,sqlite3.dll
wlbsctrl.dll file,overwritten by,malware
e:\works\2021\stonev4-legacy\cryptopp_5_6_4\cryptopp\secblock.h,source code location of,malware
Spyder Loader,use,sqlite3.dll
Spyder Loader,use,"rundll32.exe),"
SQLite DLL,start,data.dat
Mimikatz,execute on,victim networks
ZLib DLL,export,command-and-control (C&C) server
npf.sys,install,winpcap
packet.dll,install,winpcap
Budworm,leverage,CVE-2021-44228
LBudworm,leverage,CVE-2021-45105
Budworm,use,Virtual Private Servers
Budworm,payload,HyperBro malware family
Budworm,use,CyberArk Viewfinity
CyberArk Viewfinity,file,vf_host.exe
vf_host.exe,masqueraded names,securityhealthservice.exe
vf_host.exe,masqueraded names,secu.exe
vf_host.exe,masqueraded names,vfhost.exe
vf_host.exe,masqueraded names,vxhost.exe
vf_host.exe,masqueraded names,vx.exe
vf_host.exe,masqueraded names,v.exe
HyperBro,load,HyperBro loader
HyperBro loader,file name,peloader.exe
HyperBro loader,file name,12.exe
Budworm,use,PlugX/Korplug Trojan
Budworm,use,Cobalt Strike
Budworm,use,LaZagne
Budworm,use,IOX
Witchetty,aka,LookingFrog
Witchetty,use,Backdoor.Stegmap
Witchetty,exploit,CVE-2021-34473
Witchetty,exploit,CVE-2021-34523
Witchetty,exploit,CVE-2021-31207
Witchetty,exploit,CVE-2021-26855
Witchetty,exploit,CVE-2021-27065
Witchetty,sub-group of,TA410
TA410,linked to,Cicada group
Cicada group,aka,APT10
Witchetty,use,X4
Witchetty,use,LookBack
LookBack,use,Backdoor.Stegmap
Custom proxy utility,connect to,C&C server
Custom persistence utility,use,regsrv32
Witchetty,exploit,Subsystem Service
Witchetty,use,Mimikatz
Mimikatz,file,dd.exe
attackers,use,Mimikatz
attackers,launch,a.ps1
attackers,configure,WinRM
CSIDL_SYSTEM_DRIVE\inetpub\wwwroot\aspnet_client,write to,flogoff.aspx
wmic,download,http://194.180.174.254/111
LookBack,execute,backdoor
185.225.19.55:8080/111,download,remote files
wmic,execute,cmd.exe
cmd.exe,execute,powershell
powershell,download,185.225.19.55/111.txt
repro.exe,connect to,185.225.19.55:80
Noberus Ransomware,successor,Darkside
Noberus Ransomware,successor,BlackMatter
Noberus,aka,BlackCat
Noberus,aka,ALPHV
Noberus,use,Exmatter
Noberus,use,Eamfo
Noberus,successor of,Darkside
Noberus,successor of,BlackMatter
Noberus,developed by,Coreid
Coreid,aka,FIN7
Coreid,aka,Carbon Spider
Coreid,shut down,Darkside
Darkside,replace with,BlackMatter
Coreid,runs,RaaS operation
RaaS operation,developed by,Coreid
Noberus,coded in,Rust
Noberus,advertised through,onion domain
Coreid,announce,Noberus
Noberus,use,intermittent encryption
Coreid,update,Noberus
Plus role,access,DDoS
Plus role,access,Brute
Coreid,update,Noberus
Noberus,used alongside,Exmatter
Exmatter,aka,Trojan.Exmatter
Exmatter,used alongside,Blackmatter
Exmatter,creation of,Coreid
Exmatter,use alongside,Coreid's ransomware
Eamfo,used by,Yanluowang
LockBit,belong to,ransomware
Eamfo,used by,Monti
Monti,based on,Conti ransomware
Monti,resemble,Conti ransomware
Conti ransomware,developed by,Miner
Noberus,involving,Eamfo
Noberus,utilize,GMER
GMER,leverage by,ransomware
GMER,seen in,Monti
Coreid,use,Carbanak
Coreid,change tactics,ransomware-as-a-service operation
Webworm,develop,Trochilus
Webworm,develop,Gh0st RAT
Webworm,develop,9002 RAT
Webworm,link to,Space Pirates
Webworm,use,Trochilus RAT
Trochilus,implemented in,C++
Trochilus,available for download on,GitHub
Trochilus,useful in,cyber-espionage operations
Trochilus,linked to,PlugX
Trochilus,linked to,9002 RAT
9002 RAT,used by,state-sponsored actors
9002 RAT,deliver,PlugX RAT
Gh0st RAT,use by,advanced persistent threat (APT) groups
Gh0st RAT,used by,GhostNet
Webworm,develop,Trochilus dropper
Trochilus dropper,hash,6201c604ac7b6093dc8f6f12a92f40161508af1ddffa171946b876442a66927e
Trochilus Dropper,hash,b9a0602661013d973bc978d64b7abb6bed20cf0498d0def3acb164f0d303b646
Trochilus Dropper,hash,c71e0979336615e67006e20b24baafb19d600db94f93e3bf64181478dfc056a8
Trochilus dropper,drop,[TEMP]\Logger.exe
[TEMP]\Logger.exe,hash,28d78e52420906794e4059a603fa9f22d5d6e4479d91e9046a97318c83998679
Trochilus dropper,drop,[TEMP]\sc.cfg
[TEMP]\sc.cfg,hash,a618b3041935ec3ece269effba5569b610da212b1aa3968e5645f3e37d478536
Trochilus dropper,drop,[TEMP]\logexts.dat
[TEMP]\logexts.dat,hash,a6b9975bfe02432e80c7963147c4011a4f7cdb9baaee4ae8d27aaff7dff79c2b
Trochilus dropper,drop,[TEMP]\logexts.dll
[TEMP]\logexts.dll,hash,a73a4c0aa557241a09e137387537e04ce582c989caa10a6644d4391f00a836ef
Trochilus dropper,drop,[TEMP]\logger.dat
[TEMP]\logger.dat,hash,10456bc3b5cfd2f1b1ab9c3833022ef52f5e9733d002ab237bdebad09b125024
Trochilus dropper,drop,[TEMP]\[RANDOM_DIGITS].doc
[TEMP]\[RANDOM_DIGITS].doc,hash,d295712185de2e5f8811b0ce7384a04915abdf970ef0f087c294bb00e340afad
(LoadLibraryA,load,[TEMP]\logexts.dll
[TEMP]\logexts.dll,loader,logexts.dll
logexts.dll,check,WINLOGON.EXE
logexts.dll,start,C:\ProgramData\Logger\Logger.exe
logexts.dll,construct,Logger.dat
Logger.dat,read and execute,logexts.dat
logexts.dat,copy,C:\ProgramData\Logger\Logger.exe
logexts.dat,copy,C:\ProgramData\Logger\logger.dat
logexts.dat,copy,C:\ProgramData\Logger\logexts.dll
logexts.dat,copy,C:\ProgramData\Logger\logexts.dat
logexts.dat,copy,C:\ProgramData\Logger\sc.cfg
Trochilus RAT,hash,e69177e58b65dd21e0bbe4f6caf66604f120e0c835f3ee0d16a45858f5fe9d90
Trochilus RAT,load configuration from,C:\ProgramData\Logger\sc.cfg
Trochilus RAT,load configuration from,"C:\ProgramDataesmon.resmoncfg"
Trochilus RAT,load configuration from,"C:\ProgramData\appsoftesmon.resmoncfg"
Space Pirates,mention,resmon.resmoncfg
Webworm,inject,svchost.exe
Space Pirates,deploy,Trochilus RAT
Space Pirates,deploy,Gh0st RAT
Space Pirates,deploy,9002 RAT
Trochilus RAT,modified by,Webworm
Gh0st RAT,dropper,1e725f1fe67d1a596c9677df69ef5b1b2c29903e84d7b08284f0a767aedcc097
Gh0st RAT,shellcode loader,b0a58c6c859833eb6fb1c7d8cb0c5875ab42be727996bcc20b17dd8ad0058ffa
Gh0st RAT,shellcode loader,1CC32C7F2C90A558BA5FF6BA191E655B20D7C65C10AF0D5D06820A28C2947EFD
9002 RAT,dropper,6e46054aa9fd5992a7398e0feee894d5887e70373ca5987fc56cd4c0d28f26a1
9002 RAT,packed backdoor,37fa5108db1ae73475911a5558fba423ef6eee2cf3132e35d3918b9073aeecc1
Webworm,modify,9002 RAT
Webworm,prepare,Gh0st RAT
Webworm,same threat group as,Space Pirates
ShadowPad,belong to,remote access Trojan (RAT
attackers,use,PsExec
PsExec,load,RATS
attacker,use,Ntdsutil
imjpuex.exe,used by,attackers
imjpuex.exe,SHA256,fb5bc4baece5c3ab3dabf84f8597bed3c3f2997336c85c84fdf4beba2dcb700f
imjputyc.exe,used by,attackers
imjputyc.exe,side-load,imjputyc.dll
imjputyc.dll,load,imjputyc.dat
imjputyc.exe,launch,svchost.exe
Bitdefender Crash Handler,file name,javac.exe
javac.exe,hash,386eb7aa33c76ce671d6685f79512597f1fab28ea46c8ec7d89e58340081e2bd
Bitdefender Crash Handler,copy to,CSIDL_SYSTEM_DRIVE\xampp	mpmware.exe
attackers,install,ProcDump
ProcDump,execute,p.exe
p.exe,accepteula,lsass.exe
p.exe,dump to,lsass2.dmp
attackers,execute,calc.exe
calc.exe,hash,912018ab3c6b16b39ee84f17745ff0c80a33cee241013ec35d0281e40c0658d9
calc.exe,execute,Mimikatz
attackers,dump credentials,Mimikatz
attackers,installed,cal.exe
cal.exe,hash,12534f7014b3338d8f9f86ff1bbeacf8c80ad03f1d0d19077ff0e406c58b5133
cal.exe,tool,LadonGo v3.8
LadonGo v3.8,written in,Go
attackers,used,LadonGo
Crash Handler,named,svchost.exe
svchost.exe,install,Mimikatz
Mimikatz,name,test.exe
test.exe,hash,912018ab3c6b16b39ee84f17745ff0c80a33cee241013ec35d0281e40c0658d9
attackers,run,LadonGo
LadonGo,exploit,CVE-2020-1472
attackers,deploye,kb0394623.exe
PsExec,execute,Crash Handler
Crash Handler,name,javac.exe
javac.exe,copy to,csidl_program_files\windows mail\winmailservice.exe
attackers,run,dnscmd.exe
dnscmd.exe,hash,67877821bf1574060f4e45ab8be62e28f54fb40a23ce70b86a6369a4d63db5bc
Crash Handler,install,imjpuex.exe
Crash Handler,execute,5c4456f061ff764509a2b249f579a5a14d475c6714f714c5a45fdd67921b9fda
Crash Handler,execute,ded734f79058c36a6050d801e1fb52cd5ca203f3fd6af6ddea52244132bd1b51
attacker,execute,svchost.exe
svchost,launch,NetworkService
attacker,use,Mimikatz
Mimikatz,named,calc.exe
calc.exe,hash,912018ab3c6b16b39ee84f17745ff0c80a33cee241013ec35d0281e40c0658d9
PsExec,execute,t.bat
net.exe,check,user account
attacker,use,ProcDump
ProcDump,file name,p.exe
p.exe,hash,2f1520301536958bcf5c65516ca85a343133b443db9835a58049cd1694460424
ProcDump,accepteula,lsass.exe
ProcDump,ma,lsass.exe
lsass.exe,dumped,lsass2.dmp
go64.exe,copy of,Fscan
Fscan,scan,10.72.0.0
Fscan,scan,10.72.0.255
go64.exe,link to,10.72.0.101
Fscan,exploit,CVE-2021-26855
PsExec,launch,Crash Handler
Crash Handler,file name,winnet.exe
attacker,run,Dnscmd utility
Dnscmd utility,execute,winnet.exe
Dnscmd utility,load,Crash Handler
Crash Handler,install,ProcExplorer
ProcExplorer,launch,CSIDL_PROFILE\desktop\processexplorer\procexp64.exe
ShadowPad,used by,attackers
attackers,use,Infostealer.Logdatter
attackers,use,PlugX/Korplug Trojan
attackers,use,Trochilus RAT
attackers,use,QuasarRAT
attackers,use,Ladon penetration testing framework
attackers,use,Nirsoft Remote Desktop PassView
attackers,use,Simple Network Management Protocol (SNMP) scanning tool
attackers,use,Fscan
attackers,use,Nbtscan
attackers,use,FileZilla
attackers,use,FastReverseProxy
ShadowPad,successor to,Korplug/PlugX Trojan
ShadowPad,linked to,espionage actors
Korplug/PlugX,link to,Blackfly/Grayfly
Blackfly/Grayfly,aka,APT41
Korplug/PlugX,link to,Mustang Panda
Korplug/PlugX,use,HPCustParticUI.exe
Korplug/PlugX,use,hpcustpartui.dll
Shuckworm,deliver,Infostealer
Shuckworm,aka,Gamaredon
Shuckworm,aka,Armageddon
mshta.exe,downloaded from,a0698649[.]xsph[.]ru
a0698649[.]xsph[.]ru,associated with,Shuckworm
xsph[.]ru,associated with,Shuckworm
Backdoor.Pterodo,tool of,Shuckworm
ntuser,associated with,Shuckworm
ntuser,associated with,Giddome backdoor
ntuser.dat.tmcontainer.vcd,parent process,tuser.dat.tm.descendant.exe
Giddome backdoor,named,tuser.dat.tm.descendant.exe
ntuser.dat.tmcontainer.h264,child process,ntuser.dat.tm.declare.exe
Giddome backdoor,binary,ntuser.dat.tm.declare.exe
ntuser.dat.tmcontainer.asc,child process,ntuser.dat.tm.decay.exe
4896.exe,belong to,backdoor
Ammyy Admin,leveraged by,attackers
AnyDesk,leveraged by,attackers
Shuckworm,use,ntuser.dat
LockBit,belong to,Ransomware
LockBit,operated by,Syrphid
LockBit,use,AnyDesk
LockBit,use,Windows RDP
LockBit,end,Process Explorer
LockBit,end,Process Monitor
LockBit,end,Wireshark
LockBit,end,Dumpcap
LockBit,end,Process Hacker
LockBit,end,cmd.exe
LockBit,end,TeamViewer
LockBit,end,Notepad
LockBit,end,Notepad++
LockBit,end,WordPad
LockBit,relaunch,DLLHost.exe
LockBit,injects code into,dllhost.exe
LockBit,bypass UAC using,USERENV.dll
LockBit,launch,powershell.exe
powershell.exe,run,gpupdate
MSHTA.exe,technique,lockbit.hta
LockBit,improve,RaaS operation
Bumblebee,linked to,Conti
Bumblebee,linked to,Quantum
Bumblebee,linked to,Mountlocker
Bumblebee,introduced as replacement for,Trickbot
Bumblebee,introduced as replacement for,BazarLoader
Bumblebee,deliver,Quantum
Bumblebee,use,spear-phishing email
spear-phishing email,contain,rundll32.exe
Bumblebee,contact,C&C server
C&C server,ip,45.153.243.93
Bumblebee,run,wscript.exe
Bumblebee,run,wab.exe
wab.exe,run,cmd.exe
Bumblebee,inject,Metasploit DLL
Metasploit DLL,into,ImagingDevices.exe
Bumblebee,drop,AdFind tool
Bumblebee,drop,Quantum ransomware
Bumblebee,use,rundll32.exe
rundll32.exe,run,CSIDL_COMMON_APPDATA\2429189468.dll
Quantum,use,WMI
Bumblebee,deploy,ConnectWise
Bumblebee,deploy,Atera
Bumblebee,deploy,Meterpreter
Bumblebee,intended payload,ransomware
AdFind,used in,Bumblebee
AdFind,used with,Cobalt Strike
Cobalt Strike,used to deliver,Avaddon ransomware
AdFind,used alongside,AnyDesk
AdFind,used alongside,Splashtop
AdFind,used alongside,7-Zip
AdFind,deployed in,ransomware attack
attackers,used,Atera
attackers,used,Splashtop
attackers,used,AnyDesk
attackers,used,Mimikatz
attackers,used,LaZagne
attackers,used,NetScan
attackers,used,PowerShell script
PowerShell script,named,cve-2021-34527.ps1
AdFind,appeared in,Quantum ransomware
attackers,used,Cobalt Strike
attackers,used,Ligolo
attackers,used,ProcDump
attackers,used,Rclone
AdFind,deliver,Diavol
AdFind,link with,Bumblebee
Bumblebee,suggested,ransomware
adf.bat,used in,Bumblebee
adf.bat,hash,1e7737a57552b0b32356f5e54dd84a9ae85bb3acff05ef5d52aabaa996282dfb
adf.bat,used in,ransomware attack
adf.bat,used in,Bumblebee
adf.bat,used with,AdFind
AdFind,hash,b1102ed4bca6dae6f2f498ade2f73f76af527fa803f0e0b46e100d4cf5150682
AdFind,hash,9d0fa4b88e5b36b8801b55508ab7bc7cda9909d639d70436e972cb3761d34eda
adf.bat,used with,AdFind
adf.bat,used with,Cobalt Strike
adf.bat,used with,PowerSploit
ransomware attack,use,AdFind
attacker,use,Atera agent
attacker,use,Splashtop
attacker,use,Cobalt Strike
Miner cyber-crime group,aka,Wizard Spider
Miner cyber-crime group,use,BazarLoader
Miner cyber-crime group,use,Trickbot
Miner cyber-crime group,use,Ryuk
Miner cyber-crime group,use,Conti
AdFind,hash,9d0fa4b88e5b36b8801b55508ab7bc7cda9909d639d70436e972cb3761d34eda
Bumblebee,use,AdFind
AdFind,used alongside,Cobalt Strike
Conti,linked to,Bumblebee
Mountlocker,linked to,Bumblebee
Cobalt Strike,used in conjunction with,AdFind
Cobalt Strike,used in conjunction with,Conti
Bumblebee,link to,ransomware attacks
ConnectWise,feature in,ransomware
Atera,feature in,ransomware
Splashtop,feature in,ransomware
AnyDesk,feature in,ransomware
Rclone,feature in,ransomware
attacker,use,AvosLocker
attacker,use,PDQ Deploy
PDQ Deploy,use,PowerShell Empire
Bumblebee,links to,ransomware
MSDT Follina Bug,drop,RAT
MSDT Follina Bug,drop,Infostealer
threat actors,exploit,remote code execution flaw
remote code execution flaw,drop,AsyncRAT
remote code execution flaw,drop,"information stealer),"
WinWord,spawns,msdt.exe
Sdiagnhost.exe,invoked by,msdt.exe
Sdiagnhost.exe,creates,PowerShell
AsyncRAT,send information to,command-and-control (C&C) server
Trojan.Clipminer,similarity,KryptoCibule
Trojan.Clipminer,spread,Trojanized downloads
Trojan.Clipminer,connect to,Tor network
Clipminer,mine for,cryptocurrency
WinRAR archive,hash,bd48b5da093a37cfa5e3929c19ac06ce711bd581bc49040e68d2ba0e5610bf71
WinRAR archive,drop,Control Panel (CPL) file
Control Panel (CPL) file,hash,1d31bea6a065fa20cf41861d21b7ea39979d40126c800ebc87d07adb41fe03f4
Control Panel (CPL) file,name,m5ak8iW.cpl
malware,download,Tor consensus data
Tor consensus data,URL,http://[HOST_IP_AND_PORT]/tor/status-vote/current/consensus.z
Clipminer,payload,clipboard hijacking
Clipminer,payload,coin mining
rhnoiniye_ni.dll,hash,f49a5a0f2397609a3fb97728b5a997eb77cfa1b529188403fb5e8adaeac1860b
Clipminer,similar to,KryptoCibule
Hive,follow,RaaS
Conti,follow,RaaS
Avoslocker,follow,RaaS
malware,include,IcedID
malware,include,Emotet
malware,include,QakBot
malware,include,TrickBot
malware,exploiting,CVE-2021-34473
malware,exploiting,CVE-2021-34523
malware,exploiting,CVE-2021-31207
malware,exploiting,CVE-2018-13374
malware,exploiting,CVE-2021-44228
malware,install,Cobalt Strike
affiliates,use,AnyDesk
affiliates,use,ConnectWise Control
ConnectWise Control,previously known as,ScreenConnect
Actors,use,ADRecon
Actors,use,Netscan
Mimikatz,download from,https://raw.githubusercontent.com/<redacted>/Invoke-Mimikatz.ps1
threat actor,use,comsvcs.dll
comsvcs.dll,dump LSASS memory,rundll32.exe
threat actor,use,taskmgr.exe
PsExec,lateral spread,ransomware
WMI,lateral spread,ransomware
BITSAdmin,lateral spread,ransomware
Hive,tamper,security products
Conti,tamper,security products
Avoslocker,tamper,security products
Hive,use,reg.exe
AvosLocker,use,reg.exe
actors,use,wevtutil.exe
attacker,use,Vssadmin
attacker,use,WMIC
Vssadmin,use,vssadmin.exe
WMIC,use,wmic.exe
attacker,use,BCDEdit
BCDEdit,use,bcdedit.exe
attacker,use,https://anonfiles.com
attacker,use,https://mega.nz
attacker,use,https://send.exploit.in
attacker,use,https://ufile.io
attacker,use,https://www.sendspace.com
attacker,use,Filezilla Rclone
Stonefly,mount,espionage attack
Stonefly,aka,DarkSeoul
Stonefly,aka,BlackMine
Stonefly,aka,Operation Troy
Stonefly,aka,Silent Chollima
Stonefly,mount,DDoS attacks
Stonefly,use,Backdoor.Prioxer
Stonefly,link,Jokra
Operation Dream Job,carried out by,Pompilus
attacker,exploit,CVE-2021-44228
attackers,install,Backdoor.Preft
Backdoor.Preft,aka,Dtrack
Backdoor.Preft,aka,Valefor
attackers,use,PuTTY’s PSCP command line application
PuTTY’s PSCP command line application,masquerade as,pvhost.exe
attackers,run,Mimikatz
Mimikatz,masquerade as,pl.exe
attacker,use,3proxy tiny proxy server
3proxy tiny proxy server,file,svhost.exe
attacker,install,tapi.exe
attacker,use,3proxy tiny proxy server
3proxy tiny proxy server,file,svhost.exe
attacker,install,Preft backdoor
Preft backdoor,file,svchost.exe
attacker,use,WinSCP
attacker,use,Invoke-TheHash
Invoke-TheHash,file,rev.ps1
attacker,use,wmiexec.py
wmiexec.py,file,"notepad.exe),"
Preft backdoor,inject,iexplore.exe
Preft backdoor,inject,explorer.exe
Stonefly,deploy,infostealer
Stonefly,develop,Preft backdoor
Shuckworm,aka,Gamaredon
Backdoor.Pterodo,communicate with,command-and-control server
Pterodo,drop,VBScript file
Pterodo,use,Scheduled Tasks
Scheduled Tasks,file,shtasks.exe
Pterodo,download,additional code
Pterodo,use,C&C server
Backdoor.Pterodo.B,unpacked by,7-Zip
Backdoor.Pterodo.B,send to,C&C server
ntusers.ini file,copied to,desktop.ini file
Backdoor.Pterodo.C,drop,VBScripts
VBScripts,unpack,offspring.gif
offspring.gif,download,corolain.ru
Backdoor.Pterodo.D,create,[USERPROFILE]\atwuzxsjiobk.ql
Backdoor.Pterodo.D,create,[USERPROFILE]\abide.wav
Backdoor.Pterodo.D,download,declined.delivered.maizuko[.]ru
Backdoor.Pterodo.E,extract,VBScript files
Shuckworm,use,UltraVNC
Shuckworm,use,Process Explorer
Shuckworm,redevelop,Pterodo
Operation Dream Job,continuation of,Pompilus
Lazarus,conduct,Operation Dream Job
Operation Dream Job,involves,Lazarus
Lazarus,for,espionage
Operation Dream Job,begins,scskapplink.dll
scskapplink.dll,belong to,Trojanized tool
payload,download from,C&C server
attackers,inject,MagicLine
attackers,deploy,SiteShoter
attackers,deploy,IP Logger
attackers,deploy,WakeOnLAN
attackers,deploy,FastCopy
join_06[1].htm,hash,e31af5131a095fbc884c56068e19b0c98636d95f93c257a0c829ec3f3cc8e4ba
join_06[1].htm,copied to,rundll32.exe
rundll32.exe,downloaded and executed,final.cpl
final.cp,hash,5f20cc6a6a82b940670a0f89eda5d68f091073091394c362bfcaf52145b058db
malware,connect,hxxp[:]//happy[.]nanoace.co.kr/Content/rating/themes/krajee-fas/FrmAMEISMngWeb.asp
final.cpl,hash,61e305d6325b1ffb6de329f1eb5b3a6bcafa26c856861a8200d717df0dec48c4
schtasks,create,scheduled task
scheduled task,run,cmd.exe
cmd.exe,execute,C:\ProgramData\Intel\Intel.bat
attacker,execute,Intel.bat
attackers,install,Cryptodome
attackers,install,PyCrypto
attackers,install,BitDefender
attacker,execute,final.cpl
attacker,execute,wpm.cpl
wpm.cpl,hash,942489ce7dce87f7888322a0e56b5e3c3b0130e11f57b3879fbefc48351a78f6
final.cpl,changes to,ntuser.dat
attacker,use,scheduled task
scheduled task,run,arm.bat
arm.bat,executed,arm.dat
arm.dat,hash,48f3ead8477f3ef16da6b74dadc89661a231c82b96f3574c6b7ceb9c03468291
addins.cpl,hash,5f20cc6a6a82b940670a0f89eda5d68f091073091394c362bfcaf52145b058db
scheduled task,auto-start and execute,addins.bat
attacker,run,addins.cpl
addins.cpl,delete,"CSIDL_SYSTEMundll32.exe"
addins.cpl,delete,CSIDL_COMMON_APPDATA\addins.cpl
Lazarus group,continuation of,Operation Dream Job
Cicada,engage in,Espionage
Cicada,aka,APT10
Cicada,use,custom loader
Cicada,use,custom malware
Cicada,deploy,custom loader
Cicada,deploy,Sodamaster backdoor
Sodamaster,used by,Cicada
Mimikatz loader,used by,Sodamaster
mimilib.dll,dropped by,Mimikatz loader
attacker,use,WinVNC
attacker,use,RAR archiving tool
attacker,use,WMIExec
attacker,use,"NBTScan),"
Cicada,goal of,espionage
Trojan.Verblecon,goal,cryptocurrency miners
sophisticated loader,used for,ransomware
sophisticated loader,used for,espionage campaigns
Daxin,used by,China-linked espionage group
Daxin,connect to,10.0.2.2
Daxin,connect to,10.0.3.3
Daxin,connect to,10.0.4.4
Daxin,most advanced,Espionage tool
Leafroller,aka,Sodinokibi
Leafroller,aka,Sodinokibi
Coreid,aka,Darkside
Coreid,aka,Blackmatter
Pinion,aka,Hive
Sirex,aka,AvosLocker
ransomware,used tool,PsExec
ransomware,used tool,Cobalt Strike
ransomware,used tool,VssAdmin
ransomware,used tool,MSIExec
Daxin,designed for,Espionage tool
Daxin,used by,China-linked espionage group
Daxin,form,Windows kernel driver
Backdoor.Daxin,hash,ea3d773438c04274545d26cc19a33f9f1dbbff2a518e4302addc1279f9950cef
Daxin,packed with,VMProtect
ndis.sys,analyzed by,Daxin
Slingshot,belong to,advanced persistent threat (APT
Daxin,inject,svchost.exe
Daxin,belong to,Backdoor
Espionage tool,seen from,China-linked actors
Backdoor.Daxin,used by,China-linked actors
Daxin,used by,China-linked actor
Daxin,reminiscent of,Regin
Backdoor.Zala,aka,Exforel
Daxin,build on,Backdoor.Zala
Backdoor.Zala,same actor,Daxin
Chinese espionage actors,associated with,Daxin
Owprox,associated with,Slug
Slug,aka,Owlproxy
Backdoor.Daxin,occurred with,Trojan.Owprox
Trojan.Emulov,variant of,Daxin
cmd.exe,execute,powershell
powershell,download,hxxp://192.168.3.13/email.jpeg
cmd.exe,move,CSIDL_SYSTEM_DRIVE	emp\sys.tmp1
schtasks,modify,postgresql.exe
schtasks,execute,postgresql.exe
